Year,State,Sex,Name,Number
1960,AK,boy,David,151
1960,AK,girl,Mary,78
1961,AK,boy,David,145
1961,AK,girl,Mary,80
1962,AK,boy,John,156
1962,AK,girl,Mary,86
1963,AK,boy,David,144
1963,AK,girl,Mary,78
1964,AK,boy,John,151
1964,AK,girl,Mary,84
1965,AK,boy,John,151
1965,AK,girl,Lisa,70
1966,AK,girl,Mary,67
1966,AK,boy,Michael,128
1967,AK,boy,David,131
1967,AK,girl,Lisa,68
1968,AK,boy,John,148
1968,AK,girl,Michelle,82
1969,AK,boy,Michael,148
1969,AK,girl,Michelle,89
1970,AK,girl,Jennifer,81
1970,AK,boy,Michael,166
1971,AK,girl,Jennifer,109
1971,AK,boy,John,137
1972,AK,girl,Jennifer,130
1972,AK,boy,Michael,146
1973,AK,girl,Jennifer,128
1973,AK,boy,Michael,142
1974,AK,girl,Jennifer,134
1974,AK,boy,Michael,151
1975,AK,girl,Jennifer,115
1975,AK,boy,Michael,147
1976,AK,boy,Jason,146
1976,AK,girl,Jennifer,124
1977,AK,boy,Jason,133
1977,AK,girl,Jennifer,140
1978,AK,girl,Jennifer,129
1978,AK,boy,Michael,149
1979,AK,boy,Christopher,140
1979,AK,girl,Jennifer,126
1980,AK,girl,Jessica,116
1980,AK,boy,Michael,145
1981,AK,girl,Jennifer,106
1981,AK,boy,Michael,149
1982,AK,girl,Jennifer,145
1982,AK,boy,Michael,206
1983,AK,boy,Christopher,187
1983,AK,girl,Jennifer,155
1984,AK,boy,Christopher,199
1984,AK,girl,Jessica,157
1985,AK,girl,Jessica,163
1985,AK,boy,Michael,189
1986,AK,girl,Jessica,158
1986,AK,boy,Michael,170
1987,AK,boy,Christopher,175
1987,AK,girl,Jessica,156
1988,AK,girl,Jessica,134
1988,AK,boy,Michael,181
1989,AK,girl,Jessica,112
1989,AK,boy,Michael,159
1990,AK,girl,Jessica,112
1990,AK,boy,Michael,196
1991,AK,girl,Jessica,107
1991,AK,boy,Michael,149
1992,AK,girl,Jessica,102
1992,AK,boy,Michael,159
1993,AK,girl,Jessica,85
1993,AK,boy,Michael,111
1994,AK,girl,Jessica,76
1994,AK,boy,Michael,101
1995,AK,boy,Michael,88
1995,AK,girl,Samantha,61
1996,AK,girl,Ashley,57
1996,AK,boy,Michael,101
1997,AK,girl,Hannah,67
1997,AK,boy,Jacob,86
1998,AK,girl,Emily,60
1998,AK,boy,Michael,78
1999,AK,girl,Emily,62
1999,AK,boy,Jacob,96
2000,AK,girl,Hannah,58
2000,AK,boy,Michael,74
2001,AK,girl,Madison,54
2001,AK,boy,Michael,67
2002,AK,boy,Jacob,75
2002,AK,girl,Madison,57
2003,AK,girl,Hannah,56
2003,AK,boy,Jacob,62
2004,AK,girl,Emma,62
2004,AK,boy,Ethan,65
2005,AK,boy,Ethan,63
2005,AK,girl,Madison,53
2006,AK,girl,Emma,48
2006,AK,boy,James,66
2007,AK,boy,Aiden,58
2007,AK,girl,Isabella,52
2008,AK,girl,Emma,49
2008,AK,boy,James,66
1960,AL,boy,James,1867
1960,AL,girl,Mary,981
1961,AL,boy,James,1802
1961,AL,girl,Mary,929
1962,AL,boy,James,1648
